minutes,object_id,timestamp,date,last,last_ts,max,sum,mean,count
15,6602,2019-03-01 18:45:00,2019-03,0.0,1551466771000,0.0,0.0,0.0,13
15,6602,2019-03-01 18:30:00,2019-03,0.0,1551465860000,0.0,0.0,0.0,13
15,6602,2019-03-01 18:15:00,2019-03,0.0,1551464938000,0.0,0.0,0.0,12
15,6602,2019-03-01 18:00:00,2019-03,0.0,1551464095000,0.0,0.0,0.0,13
15,6602,2019-03-01 17:45:00,2019-03,0.0,1551463174000,0.98,0.98,0.07537999999999999,13
15,6602,2019-03-01 17:30:00,2019-03,0.0,1551462263000,44.92,311.51,23.962310000000002,13
15,6602,2019-03-01 17:15:00,2019-03,44.92,1551461341000,46.88,541.9799,45.16499,12
15,6602,2019-03-01 17:00:00,2019-03,44.92,1551460498000,46.88,597.67993,45.97538,13
15,6602,2019-03-01 16:45:00,2019-03,45.9,1551459577000,46.88,603.56,46.427690000000005,13
15,6602,2019-03-01 16:30:00,2019-03,46.88,1551458657000,46.88,608.46,46.80462,13
15,6602,2019-03-01 16:15:00,2019-03,46.88,1551457745000,48.83,574.24005,47.85334,12
15,6602,2019-03-01 16:00:00,2019-03,47.85,1551456892000,48.83,291.04,22.38769,13
15,6602,2019-03-01 15:45:00,2019-03,0.98,1551455981000,2.93,18.569998000000002,1.42846,13
15,6602,2019-03-01 15:30:00,2019-03,0.98,1551455059000,2.93,18.569998000000002,1.42846,13
15,6602,2019-03-01 15:15:00,2019-03,0.98,1551454150000,2.93,13.709999,1.1425,12
15,6602,2019-03-01 15:00:00,2019-03,0.98,1551453297000,1.95,14.679998000000001,1.12923,13
15,6602,2019-03-01 14:45:00,2019-03,1.95,1551452385000,2.93,22.450003,1.72692,13
15,6602,2019-03-01 14:30:00,2019-03,0.98,1551451463000,2.93,24.390003,1.87615,13
15,6602,2019-03-01 14:15:00,2019-03,1.95,1551450542000,2.93,24.380001,2.03167,12
15,6602,2019-03-01 14:00:00,2019-03,0.98,1551449699000,3.91,26.340002000000002,2.02615,13
15,6602,2019-03-01 13:45:00,2019-03,1.95,1551448777000,4.88,37.100002,2.85385,13
15,6602,2019-03-01 13:30:00,2019-03,2.93,1551447865000,3.91,41.030003,3.15615,13
15,6602,2019-03-01 13:15:00,2019-03,2.93,1551446944000,2.93,27.32,2.27667,12
15,6602,2019-03-01 13:00:00,2019-03,1.95,1551446098000,41.99,410.1601,31.55078,13
15,6602,2019-03-01 12:45:00,2019-03,40.04,1551445176000,40.04,137.72,10.59385,13
15,6602,2019-03-01 12:30:00,2019-03,2.93,1551444265000,2.93,34.170002000000004,2.62846,13
15,6602,2019-03-01 12:15:00,2019-03,2.93,1551443343000,3.91,37.11,2.85462,13
15,6602,2019-03-01 12:00:00,2019-03,1.95,1551442422000,3.91,30.260006,2.52167,12
15,6602,2019-03-01 11:45:00,2019-03,2.93,1551441579000,2.93,35.15,2.70385,13
15,6602,2019-03-01 11:30:00,2019-03,1.95,1551440657000,2.93,28.290004999999997,2.17615,13
15,6602,2019-03-01 11:15:00,2019-03,3.91,1551439746000,3.91,36.14,3.01167,12
15,6602,2019-03-01 11:00:00,2019-03,2.93,1551438893000,2.93,37.11,2.85462,13
15,6602,2019-03-01 10:45:00,2019-03,3.91,1551437935000,3.91,38.100002,3.175,12
15,6602,2019-03-01 10:30:00,2019-03,3.91,1551437026000,3.91,37.120003000000004,3.09333,12
15,6602,2019-03-01 10:15:00,2019-03,2.93,1551436185000,3.91,39.070004,3.0053799999999997,13
15,6602,2019-03-01 10:00:00,2019-03,2.93,1551435265000,2.93,38.09,2.93,13
15,6602,2019-03-01 09:45:00,2019-03,2.93,1551434354000,2.93,38.09,2.93,13
15,6602,2019-03-01 09:30:00,2019-03,2.93,1551433434000,3.91,37.120003000000004,3.09333,12
15,6602,2019-03-01 09:15:00,2019-03,2.93,1551432594000,4.88,45.920002000000004,3.53231,13
15,6602,2019-03-01 09:00:00,2019-03,2.93,1551431672000,3.91,39.07,3.0053799999999997,13
60,6602,2019-03-01 20:00:00,2019-03,0.0,1551473974000,1.95,4.8900003,0.09587999999999999,51
60,6602,2019-03-01 19:00:00,2019-03,0.0,1551470377000,1.95,3.91,0.07667,51
60,6602,2019-03-01 18:00:00,2019-03,0.0,1551466771000,0.0,0.0,0.0,51
60,6602,2019-03-01 17:00:00,2019-03,0.0,1551463174000,46.88,1452.15,28.47353,51
60,6602,2019-03-01 16:00:00,2019-03,45.9,1551459577000,48.83,2077.3003,40.73138,51
60,6602,2019-03-01 15:00:00,2019-03,0.98,1551455981000,2.93,65.53,1.2849,51
60,6602,2019-03-01 14:00:00,2019-03,1.95,1551452385000,3.91,97.55999,1.91294,51
60,6602,2019-03-01 13:00:00,2019-03,1.95,1551448777000,41.99,515.6101,10.11,51
60,6602,2019-03-01 12:00:00,2019-03,40.04,1551445176000,40.04,239.26001000000002,4.69137,51
60,6602,2019-03-01 11:00:00,2019-03,2.93,1551441579000,3.91,136.68996,2.6802,51
60,6602,2019-03-01 10:00:00,2019-03,3.91,1551437935000,3.91,152.37999,3.0476,50
60,6602,2019-03-01 09:00:00,2019-03,2.93,1551434354000,4.88,160.19995,3.14118,51
15,6602,2019-04-01 20:00:00,2019-04,0.0,1554149680000,1.95,2.93,0.22538000000000002,13
15,6602,2019-04-01 19:45:00,2019-04,0.0,1554148769000,0.98,0.98,0.07537999999999999,13
15,6602,2019-04-01 19:30:00,2019-04,0.0,1554147847000,0.0,0.0,0.0,13
15,6602,2019-04-01 19:15:00,2019-04,0.0,1554146926000,1.95,2.93,0.24416999999999997,12
